,ACC_YEAR,SGG_CD,SGG_NM,BJDONG_CD,BJDONG_NM,LAND_GBN,LAND_GBN_NM,BONBEON,BUBEON,BLDG_NM,DEAL_YMD,OBJ_AMT,BLDG_AREA,TOT_AREA,FLOOR,RIGHT_GBN,CNTL_YMD,BUILD_YEAR,HOUSE_TYPE,REQ_GBN,RDEALER_LAWDNM
0,2023,11710,송파구,10800,문정동,1,대지,0652,0004,힐스테이트에코문정,20230805,20500,20.79,32.68,4.0,,,2018,오피스텔,중개거래,서울 송파구
1,2023,11560,영등포구,10900,영등포동8가,1,대지,0051,0001,메이준,20230804,8000,17.44,25.56,6.0,,,2012,오피스텔,중개거래,서울 영등포구
2,2023,11380,은평구,10500,구산동,1,대지,0345,0020,솔빛엘르빌,20230804,22000,49.3,27.73,2.0,,,2012,연립다세대,중개거래,서울 은평구
3,2023,11620,관악구,10100,봉천동,1,대지,1708,0000,두산,20230804,80000,59.92,0.0,10.0,,,2000,아파트,중개거래,서울 관악구
4,2023,11500,강서구,10300,화곡동,1,대지,1071,0007,와이앤비,20230804,22500,25.38,15.19,3.0,,,2017,연립다세대,중개거래,서울 강서구
5,2023,11500,강서구,10300,화곡동,1,대지,0338,0006,가이아팰리스,20230804,26750,29.99,18.72,2.0,,,2019,연립다세대,중개거래,서울 양천구
6,2023,11440,마포구,12500,성산동,1,대지,0593,0002,상암 수린나 오피스텔,20230804,16500,17.55,27.64,10.0,,,2018,오피스텔,직거래,
7,2023,11740,강동구,10300,상일동,1,대지,0514,0000,고덕롯데캐슬베네루체,20230804,105000,59.98,0.0,11.0,,,2019,아파트,중개거래,서울 강동구
8,2023,11620,관악구,10100,봉천동,1,대지,1574,0001,생모리츠타운,20230804,11400,22.24,30.66,9.0,,,2007,오피스텔,직거래,
9,2023,11620,관악구,10100,봉천동,1,대지,0715,0185,(715-185),20230804,15000,41.06,31.3,1.0,,,1988,연립다세대,직거래,
10,2023,11230,동대문구,10500,답십리동,1,대지,0530,0017,한성아펠시티,20230804,25800,29.93,42.86,11.0,,,2019,오피스텔,중개거래,서울 동대문구
11,2023,11680,강남구,10100,역삼동,1,대지,0774,0034,리치웰빌라트2차,20230804,60000,47.42,29.78,6.0,,,2017,연립다세대,중개거래,서울 강남구
12,2023,11710,송파구,10500,석촌동,1,대지,0024,0003,석촌호수효성해링턴타워,20230804,28200,15.83,0.0,16.0,,,2015,아파트,중개거래,서울 송파구
